datum	2018	2019	2020	2021	2022	2023	2024	2025	2030	2035	2040	2050
02/01/00 00:00	 € 0.02510000000 	 € 0.04900000000 	 € 0.03540000000 	 € 0.04670000000 	 € 0.05710000000 	 € 0.10990000000 	 € 0.02939000000 	 € 0.10194000000 	 € -   	 € 0.02500000000 	 € -   	 € -   
02/01/00 01:00	 € 0.02320000000 	 € 0.04660000000 	 € 0.03200000000 	 € 0.04240000000 	 € 0.05260000000 	 € 0.09490000000 	 € 0.01960000000 	 € 0.14695000000 	 € -   	 € 0.02500000000 	 € -   	 € 0.00001000000 
02/01/00 02:00	 € 0.02500000000 	 € 0.04660000000 	 € 0.03050000000 	 € 0.04110000000 	 € 0.04900000000 	 € 0.05290000000 	 € 0.02733000000 	 € 0.14844000000 	 € -   	 € 0.02500000000 	 € -   	 € -   
02/01/00 03:00	 € 0.02480000000 	 € 0.04570000000 	 € 0.02880000000 	 € 0.04000000000 	 € 0.03490000000 	 € 0.04420000000 	 € 0.01620000000 	 € 0.13800000000 	 € -   	 € 0.02500000000 	 € -   	 € -   
02/01/00 04:00	 € 0.02490000000 	 € 0.04600000000 	 € 0.02840000000 	 € 0.03760000000 	 € 0.02960000000 	 € 0.05010000000 	 € 0.00950000000 	 € 0.10010000000 	 € -   	 € 0.00001000000 	 € -   	 € -   
02/01/00 05:00	 € 0.02600000000 	 € 0.04650000000 	 € 0.02880000000 	 € 0.03900000000 	 € 0.03400000000 	 € 0.07710000000 	 € 0.01120000000 	 € 0.10747000000 	 € 0.00539932728 	 € 0.01370000000 	 € -   	 € -   
02/01/00 06:00	 € 0.02260000000 	 € 0.04790000000 	 € 0.03420000000 	 € 0.04210000000 	 € 0.03450000000 	 € 0.10510000000 	 € 0.04443000000 	 € 0.15468000000 	 € 0.01370000000 	 € 0.01370000000 	 € 0.00001000000 	 € 0.00001000000 
02/01/00 07:00	 € 0.04190000000 	 € 0.04950000000 	 € 0.04210000000 	 € 0.04500000000 	 € 0.04180000000 	 € 0.14060000000 	 € 0.05656000000 	 € 0.17470000000 	 € 0.01370000000 	 € 0.01370000000 	 € 0.02500000000 	 € 0.02600000000 
02/01/00 08:00	 € 0.04800000000 	 € 0.05240000000 	 € 0.04490000000 	 € 0.04850000000 	 € 0.04900000000 	 € 0.16240000000 	 € 0.06428000000 	 € 0.17507000000 	 € 0.01370000000 	 € 0.01370000000 	 € 0.02500000000 	 € 0.02600000000 
02/01/00 09:00	 € 0.04990000000 	 € 0.05240000000 	 € 0.04530000000 	 € 0.05200000000 	 € 0.06000000000 	 € 0.18000000000 	 € 0.06612000000 	 € 0.16537000000 	 € 0.01370000000 	 € 0.01370000000 	 € 0.02600000000 	 € 0.02600000000 
